# Freq	Snu	dSnu
# GHz	uJy	uJy
3.59180e+01	-187.7	174.0
3.59210e+01	-350.1	174.0
3.59240e+01	-144.3	175.0
3.59270e+01	9.6	175.0
3.59300e+01	-104.1	175.0
3.59330e+01	-222.5	175.0
3.59360e+01	115.3	175.0
3.59390e+01	36.1	175.0
3.59420e+01	250.1	175.0
3.59450e+01	249.8	175.0
3.59480e+01	226.8	175.0
3.59510e+01	-181.6	176.0
3.59540e+01	-161.5	178.0
3.59570e+01	244.1	190.0
3.59600e+01	-209.3	238.0
3.59630e+01	-347.6	311.0
3.59660e+01	-206.3	215.0
3.59690e+01	138.8	184.0
3.59720e+01	678.0	178.0
3.59750e+01	139.0	177.0
3.59780e+01	219.0	178.0
3.59810e+01	-355.9	178.0
3.59840e+01	25.0	179.0
3.59870e+01	279.0	179.0
3.59900e+01	-57.0	179.0
3.59930e+01	526.3	179.0
3.59960e+01	206.5	180.0
3.59990e+01	22.8	180.0
3.60020e+01	-190.8	180.0
3.60050e+01	-72.4	180.0
3.60080e+01	-34.6	180.0
3.60110e+01	455.3	180.0
3.60140e+01	-81.4	181.0
3.60170e+01	-235.4	182.0
3.60200e+01	-162.6	181.0
3.60230e+01	84.9	182.0
3.60260e+01	273.4	183.0
3.60290e+01	-35.6	183.0
3.60320e+01	65.5	183.0
3.60350e+01	435.2	182.0
3.60380e+01	-327.2	183.0
3.60410e+01	140.1	183.0
3.60440e+01	26.3	183.0
3.60470e+01	82.9	184.0
3.60500e+01	-42.2	184.0
3.60530e+01	-88.8	184.0
3.60560e+01	466.7	184.0
3.60590e+01	40.8	184.0
3.60620e+01	-205.5	184.0
3.60650e+01	-187.4	184.0
3.60680e+01	-334.7	184.0
3.60710e+01	485.9	185.0
3.60740e+01	90.1	185.0
3.60770e+01	-183.8	184.0
3.60800e+01	-113.4	185.0
3.60830e+01	-124.4	189.0
3.60860e+01	532.2	207.0
3.60890e+01	-32.0	285.0
3.60920e+01	97.0	295.0
3.60950e+01	-140.2	211.0
3.60980e+01	-187.9	190.0
3.61010e+01	262.1	185.0
3.61040e+01	-189.4	184.0
3.61070e+01	123.7	184.0
3.61100e+01	113.1	185.0
3.61130e+01	-207.0	185.0
3.61160e+01	-181.2	185.0
3.61190e+01	-469.1	185.0
3.61220e+01	-187.7	185.0
3.61250e+01	36.8	184.0
