# Freq	Snu	dSnu
# GHz	uJy	uJy
3.29210e+01	-12.9	152.0
3.29450e+01	0.4	69.5
3.29690e+01	37.1	60.7
3.29930e+01	9.5	58.2
3.30170e+01	15.3	56.9
3.30410e+01	-4.2	60.3
3.30650e+01	-92.1	45.0
3.30890e+01	-8.8	44.3
3.31130e+01	9.1	44.1
3.31370e+01	63.3	44.6
3.31610e+01	10.5	53.4
3.31850e+01	6.6	45.0
3.32090e+01	63.1	44.5
3.32330e+01	-17.3	44.1
3.32570e+01	-15.9	44.4
3.32810e+01	-50.5	48.3
3.33050e+01	79.9	48.3
3.33290e+01	39.8	43.4
3.33530e+01	57.6	43.0
3.33770e+01	36.6	43.3
3.34010e+01	-55.6	43.8
3.34250e+01	-8.1	52.1
3.34490e+01	41.7	44.1
3.34730e+01	-0.6	42.8
3.34970e+01	-1.1	44.4
3.35210e+01	21.5	44.7
3.35450e+01	82.6	53.5
3.35690e+01	35.5	45.1
3.35930e+01	-3.0	44.9
3.36170e+01	34.1	44.6
3.36410e+01	6.9	45.0
3.36650e+01	5.6	49.2
3.36890e+01	6.7	49.8
3.37130e+01	-1.6	44.5
3.37370e+01	1.4	44.3
3.37610e+01	-60.6	44.7
3.37850e+01	-34.6	44.9
3.38090e+01	149.1	53.1
3.38330e+01	-20.7	44.8
3.38570e+01	-27.2	44.6
3.38810e+01	76.6	44.7
3.39050e+01	-28.9	45.4
3.39245e+01	14.5	134.0
